origin_country,destination_country,destination_city,university_name,course_name,field_of_study,year_of_enrollment,scholarship_received,enrollment_reason,graduation_year,placement_country,placement_company,starting_salary_usd,gpa_or_score,visa_status,post_graduation_visa,language_proficiency_test,test_score,duration,placement_status
4,7,Dubai,Manipal Academy Dubai,Medicine,2,2020,1,Higher Ranking,2021,None,None,-0.8785035087145754,-0.5731795244591205,4,3,0,1.045668943313875,-1.2311475026470962,0
6,9,San Francisco,UC Berkeley,Finance,7,2022,0,Political Stability,2023,USA,Siemens,0.841609206749497,-0.5731795244591205,0,0,1,-0.9665426535420397,-1.2311475026470962,1
7,8,Manchester,University of Manchester,Data Science,7,2023,1,Quality of Life,2024,UK,Intel,1.619538533049891,-1.641417840848375,4,1,0,-0.8707230536917584,-1.2311475026470962,1
4,8,London,King's College London,Architecture,3,2023,1,Political Stability,2025,None,None,-0.8785035087145754,0.44861364773929696,4,4,2,0.7582101437630302,-0.008315259255065975,0
6,5,Moscow,Moscow Institute of Physics and Technology,Electrical Engineering,0,2019,0,Quality of Life,2021,None,None,-0.8785035087145754,1.354293959460622,4,2,1,-1.7330994523442929,-0.008315259255065975,0
5,1,Turku,University of Turku,Electrical Engineering,5,2022,0,Job Opportunities,2024,None,None,-0.8785035087145754,1.7026325408919005,4,1,2,1.4289473427150021,-0.008315259255065975,0
8,0,Vancouver,Simon Fraser University,Architecture,5,2022,0,Political Stability,2024,Canada,Intel,1.8613055276197261,-0.689292384936213,3,1,1,-0.9665426535420397,-0.008315259255065975,1
0,6,Johannesburg,University of Johannesburg,Architecture,1,2019,1,Scholarship,2020,South Africa,Deloitte,0.5322081862947803,-1.1769663989400032,2,1,1,-0.48744465429063133,-1.2311475026470962,1
2,8,Edinburgh,University of Edinburgh,Law,2,2020,0,Quality of Life,2023,UK,Microsoft,-0.10230939940481376,-1.594972696657538,5,2,4,0.0,1.214516984136964,1
0,1,Joensuu,University of Eastern Finland,Political Science,2,2019,0,Political Stability,2022,Finland,Apple,1.4456027481138733,1.1917359547926911,1,3,0,0.18329254466134054,1.214516984136964,1
7,5,Moscow,Moscow Institute of Physics and Technology,Biotechnology,4,2020,0,Higher Ranking,2022,Russia,Deloitte,0.668383283309647,-1.339524403607934,4,3,0,0.8540297436133124,-0.008315259255065975,1
2,1,Tampere,Tampere University,Medicine,0,2019,1,Political Stability,2022,None,None,-0.8785035087145754,-0.7589601012224693,5,3,3,1.1414885431641564,1.214516984136964,0
3,4,Galway,National University of Ireland Galway,Medicine,5,2020,0,Quality of Life,2022,Ireland,Amazon,0.6439719351914303,-0.7589601012224693,4,1,2,0.27911214451162186,-0.008315259255065975,1
1,8,London,UCL,Electrical Engineering,1,2023,1,Scholarship,2024,UK,Amazon,1.6924570834062447,1.2381810989835285,3,2,4,0.0,-1.2311475026470962,1
0,2,Aachen,RWTH Aachen,Business Administration,5,2022,0,Quality of Life,2023,Germany,SAP,0.08643488507626129,-1.5485275524667008,4,0,1,0.3749317443619041,-1.2311475026470962,1
3,6,Johannesburg,University of Johannesburg,Data Science,3,2020,0,Quality of Life,2023,South Africa,Google,1.0538577941036855,-1.641417840848375,3,1,1,-1.1581818532426031,1.214516984136964,1
5,8,London,King's College London,Psychology,3,2020,0,Quality of Life,2023,UK,Google,0.7337102593319831,1.2846262431743656,1,4,0,-0.1041662548895043,1.214516984136964,1
2,3,Pilani,BITS Pilani,Electrical Engineering,2,2022,0,Scholarship,2025,India,Deloitte,1.6125779467124675,-1.6878629850392124,0,3,4,0.0,1.214516984136964,1
6,9,Los Angeles,UCLA,Finance,6,2021,0,Job Opportunities,2023,USA,Siemens,1.7194909753853038,-1.0376309663674925,0,4,2,1.2373081430144395,-0.008315259255065975,1
6,1,Turku,University of Turku,Political Science,7,2019,1,Quality of Life,2021,Finland,Google,0.6564339481241548,-0.31773123140951637,2,2,4,0.0,-0.008315259255065975,1
1,2,Munich,Technical University of Munich,Data Science,1,2020,1,Job Opportunities,2022,None,None,-0.8785035087145754,-0.22484094302784197,1,0,1,-0.6790838539911949,-0.008315259255065975,0
9,7,Abu Dhabi,Zayed University,Data Science,6,2020,0,Scholarship,2023,None,None,-0.8785035087145754,1.5400745362239707,3,2,2,0.7582101437630302,1.214516984136964,0
7,8,Oxford,University of Oxford,Computer Science,6,2021,1,Higher Ranking,2023,UK,Amazon,0.24337343085403776,-0.06228293835991124,1,2,4,0.0,-0.008315259255065975,1
6,4,Galway,National University of Ireland Galway,Medicine,7,2020,0,Quality of Life,2023,Ireland,Facebook,2.027511709597472,-0.17839579883700477,3,0,3,0.6623905439127489,1.214516984136964,1
0,3,Bangalore,IISc Bangalore,Law,1,2021,0,Higher Ranking,2022,None,None,-0.8785035087145754,1.4007391036514591,4,4,0,1.4289473427150021,-1.2311475026470962,0
2,4,Maynooth,Maynooth University,Economics,4,2022,0,Scholarship,2025,Ireland,Tesla,1.343303819166128,0.21638792678511096,5,3,1,-0.008346655039222967,1.214516984136964,1
1,3,Tiruchirappalli,NIT Trichy,Architecture,0,2021,1,Political Stability,2023,India,McKinsey,1.8554097335265543,-1.1072986826537479,2,3,2,1.1414885431641564,-0.008315259255065975,1
7,8,Birmingham,University of Birmingham,Design,4,2023,1,Scholarship,2025,None,None,-0.8785035087145754,0.8201748012659946,4,0,4,0.0,-0.008315259255065975,0
9,7,Dubai,Heriot-Watt Dubai,Mechanical Engineering,5,2020,1,Scholarship,2023,UAE,Facebook,0.5433293497347433,-1.641417840848375,4,2,1,-0.8707230536917584,1.214516984136964,1
4,7,Dubai,Middlesex University Dubai,Law,4,2023,0,Higher Ranking,2025,UAE,SAP,1.3395573279363533,-1.2234115431308403,2,0,1,-1.445640652793448,-0.008315259255065975,1
0,7,Dubai,Manipal Academy Dubai,Civil Engineering,7,2021,0,Political Stability,2023,UAE,Siemens,1.0322661735952465,0.8898425175522499,1,1,1,0.8540297436133124,-0.008315259255065975,1
6,9,San Francisco,Stanford University,Finance,0,2019,1,Job Opportunities,2021,None,None,-0.8785035087145754,-0.38739894769577166,4,1,4,0.0,-0.008315259255065975,0
4,9,New York,NYU,Design,0,2021,1,Scholarship,2022,None,None,-0.8785035087145754,0.28605564307136727,4,0,4,0.0,-1.2311475026470962,0
8,3,Delhi,JNU Delhi,Political Science,6,2022,0,Job Opportunities,2025,None,None,-0.8785035087145754,-1.5020824082758635,4,4,4,0.0,1.214516984136964,0
3,5,Novosibirsk,Novosibirsk State University,Computer Science,7,2019,0,Political Stability,2022,Russia,Google,1.6666260122956922,-1.1769663989400032,4,3,4,0.0,1.214516984136964,1
6,8,London,Imperial College London,Civil Engineering,4,2019,0,Political Stability,2020,None,None,-0.8785035087145754,-0.38739894769577166,3,1,4,0.0,-1.2311475026470962,0
6,3,Chennai,IIT Madras,Electrical Engineering,7,2022,1,Higher Ranking,2024,India,SAP,-0.19196885004579248,-0.3409538035049345,0,0,3,-1.6372798524940115,-0.008315259255065975,1
6,1,Tampere,Tampere University,Civil Engineering,0,2020,0,Quality of Life,2021,None,None,-0.8785035087145754,1.586519680414808,2,4,3,-0.8707230536917584,-1.2311475026470962,0
6,9,New York,NYU,Psychology,3,2022,1,Quality of Life,2025,USA,Apple,1.7549446134439093,1.354293959460622,2,0,2,0.8540297436133124,1.214516984136964,1
7,2,Berlin,Humboldt University,Medicine,7,2019,1,Higher Ranking,2022,None,None,-0.8785035087145754,-0.31773123140951637,3,0,2,0.3749317443619041,1.214516984136964,0
3,1,Helsinki,University of Helsinki,Finance,7,2019,1,Scholarship,2021,None,None,-0.8785035087145754,0.16994278259427376,0,4,0,0.3749317443619041,-0.008315259255065975,0
6,3,Delhi,Delhi University,Biotechnology,5,2022,1,Job Opportunities,2025,India,Intel,0.7682962888952725,0.8898425175522499,5,1,3,-1.445640652793448,1.214516984136964,1
6,1,Lappeenranta,LUT University,Electrical Engineering,5,2023,1,Political Stability,2025,None,None,-0.8785035087145754,-0.4338440918866089,2,2,3,0.4707513442121854,-0.008315259255065975,0
4,9,San Francisco,UC Berkeley,Data Science,5,2023,0,Political Stability,2025,None,None,-0.8785035087145754,0.5182813640255532,0,1,0,-0.008346655039222967,-0.008315259255065975,0
5,1,Espoo,Aalto University,Data Science,2,2020,0,Job Opportunities,2022,None,None,-0.8785035087145754,0.21638792678511096,5,4,0,-0.8707230536917584,-0.008315259255065975,0
4,3,Delhi,JNU Delhi,Economics,1,2023,0,Scholarship,2026,India,Google,0.7810146407016132,-0.5267343802682832,1,4,4,0.0,1.214516984136964,1
6,0,London,Western University,Architecture,3,2020,1,Political Stability,2022,None,None,-0.8785035087145754,-0.8750729616995618,0,0,3,0.4707513442121854,-0.008315259255065975,0
9,5,Saint Petersburg,Saint Petersburg State University,Data Science,2,2022,1,Political Stability,2023,Russia,McKinsey,0.1342913809429108,-0.5499569523637023,5,2,2,0.18329254466134054,-1.2311475026470962,1
5,7,Abu Dhabi,Zayed University,Biotechnology,4,2023,0,Job Opportunities,2026,None,None,-0.8785035087145754,-0.41062151979119077,5,1,4,0.0,1.214516984136964,0
2,0,Toronto,University of Toronto,Civil Engineering,6,2022,1,Higher Ranking,2024,Canada,IBM,-0.20378015660702983,-1.2466341152262594,0,3,1,-1.2540014530928845,-0.008315259255065975,1
5,2,Munich,Technical University of Munich,Business Administration,1,2019,0,Job Opportunities,2020,Germany,Amazon,1.244554197699222,-1.2466341152262594,2,0,2,-1.7330994523442929,-1.2311475026470962,1
4,8,London,King's College London,Finance,0,2021,1,Job Opportunities,2023,UK,IBM,1.9321536486122568,0.6576167965980638,2,4,3,-1.2540014530928845,-0.008315259255065975,1
8,9,Boston,MIT,Medicine,7,2023,0,Quality of Life,2025,None,None,-0.8785035087145754,0.007384777926344049,1,3,4,0.0,-0.008315259255065975,0
3,0,Ottawa,University of Ottawa,Business Administration,7,2019,0,Political Stability,2020,Canada,Facebook,1.6308765986136833,-0.01583779416907404,4,2,3,-0.5832642541409127,-1.2311475026470962,1
9,6,Stellenbosch,Stellenbosch University,Political Science,6,2020,1,Political Stability,2022,None,None,-0.8785035087145754,1.7258551129873196,0,2,3,0.7582101437630302,-0.008315259255065975,0
6,8,Edinburgh,University of Edinburgh,Business Administration,0,2021,0,Higher Ranking,2024,UK,Amazon,0.21779869861710144,-0.31773123140951637,0,3,3,-0.6790838539911949,1.214516984136964,1
5,1,Tampere,Tampere University,Design,1,2019,0,Political Stability,2022,Finland,McKinsey,0.7116059610763119,-1.4556372640850264,2,2,0,-1.6372798524940115,1.214516984136964,1
4,2,Heidelberg,Heidelberg University,Law,3,2020,0,Higher Ranking,2022,Germany,Tesla,1.487997254135009,0.6576167965980638,3,2,3,-1.445640652793448,-0.008315259255065975,1
6,8,Cambridge,University of Cambridge,Law,5,2023,0,Political Stability,2024,UK,Apple,0.2563284031591011,1.4936293920331336,3,3,3,-0.19998585473978647,-1.2311475026470962,1
4,1,Lappeenranta,LUT University,Mechanical Engineering,2,2023,1,Quality of Life,2026,Finland,Apple,0.5730252223244319,0.4021685035484598,0,1,2,-0.48744465429063133,1.214516984136964,1
9,7,Dubai,University of Dubai,Design,2,2021,1,Scholarship,2023,None,None,-0.8785035087145754,-1.5020824082758635,3,0,4,0.0,-0.008315259255065975,0
0,5,Kazan,Kazan Federal University,Psychology,2,2021,0,Quality of Life,2023,Russia,Goldman Sachs,2.0679146597543587,-0.921518105890399,1,3,0,-1.828919052194575,-0.008315259255065975,1
3,0,Edmonton,University of Alberta,Architecture,2,2019,1,Higher Ranking,2022,Canada,Facebook,0.38219079010464035,-0.06228293835991124,0,4,4,0.0,1.214516984136964,1
1,7,Dubai,Middlesex University Dubai,Design,3,2023,1,Higher Ranking,2025,None,None,-0.8785035087145754,-0.15517322674158565,5,0,3,-0.6790838539911949,-0.008315259255065975,0
0,8,Manchester,University of Manchester,Architecture,2,2022,0,Political Stability,2024,UK,Google,1.333109419346162,-1.6646404129437942,3,1,2,0.27911214451162186,-0.008315259255065975,1
8,2,Berlin,TU Berlin,Data Science,6,2021,0,Job Opportunities,2024,None,None,-0.8785035087145754,0.19316535468969287,5,2,1,0.18329254466134054,1.214516984136964,0
2,3,Pilani,BITS Pilani,Psychology,5,2023,0,Quality of Life,2026,India,Tesla,0.9405165752155513,-0.3641763756003536,1,1,0,0.6623905439127489,1.214516984136964,1
5,3,Delhi,JNU Delhi,Biotechnology,1,2019,0,Job Opportunities,2020,India,Tesla,1.2306330250243747,-1.4788598361804455,3,0,2,-0.9665426535420397,-1.2311475026470962,1
1,8,London,Imperial College London,Political Science,3,2023,1,Higher Ranking,2026,None,None,-0.8785035087145754,-1.385969547798771,2,2,0,1.4289473427150021,1.214516984136964,0
0,9,New York,NYU,Biotechnology,6,2022,0,Job Opportunities,2024,USA,Tesla,0.25049176419060987,0.3092782151667854,5,2,3,0.3749317443619041,-0.008315259255065975,1
7,8,Edinburgh,University of Edinburgh,Electrical Engineering,3,2019,0,Quality of Life,2021,UK,Google,0.7590483710701968,1.6794099687964823,0,4,0,-0.39162505444035,-0.008315259255065975,1
4,9,San Francisco,Stanford University,Business Administration,4,2020,1,Job Opportunities,2022,None,None,-0.8785035087145754,1.0059553780293433,5,1,4,0.0,-0.008315259255065975,0
4,9,Boston,MIT,Business Administration,4,2021,1,Scholarship,2024,USA,Siemens,0.37901613174677856,0.7272845128843202,3,3,3,0.5665709440624668,1.214516984136964,1
5,9,San Francisco,UC Berkeley,Political Science,1,2021,0,Higher Ranking,2023,None,None,-0.8785035087145754,1.0756230943155987,2,3,2,-1.3498210529431667,-0.008315259255065975,0
1,7,Abu Dhabi,Khalifa University,Law,0,2020,1,Higher Ranking,2023,None,None,-0.8785035087145754,-1.1072986826537479,5,0,3,-1.7330994523442929,1.214516984136964,0
9,8,Cambridge,University of Cambridge,Data Science,1,2022,0,Political Stability,2023,None,None,-0.8785035087145754,-0.9911858221766553,2,2,1,-0.5832642541409127,-1.2311475026470962,0
1,4,Dublin,Technological University Dublin,Architecture,0,2022,0,Scholarship,2025,None,None,-0.8785035087145754,-1.1072986826537479,5,3,0,0.6623905439127489,1.214516984136964,0
2,5,Moscow,Moscow Institute of Physics and Technology,Psychology,5,2022,0,Higher Ranking,2023,Russia,Tesla,1.7671502875030178,-0.06228293835991124,3,4,1,0.18329254466134054,-1.2311475026470962,1
8,6,Durban,University of KwaZulu-Natal,Design,3,2019,1,Political Stability,2021,None,None,-0.8785035087145754,0.8666199454568319,0,1,1,0.18329254466134054,-0.008315259255065975,0
7,6,Johannesburg,University of the Witwatersrand,Economics,7,2023,0,Higher Ranking,2026,None,None,-0.8785035087145754,-0.01583779416907404,1,4,4,0.0,1.214516984136964,0
6,4,Maynooth,Maynooth University,Psychology,4,2020,0,Job Opportunities,2022,Ireland,Apple,1.5381805182390975,-0.8054052454133065,1,2,2,-1.828919052194575,-0.008315259255065975,1
1,9,Chicago,University of Chicago,Psychology,0,2021,0,Higher Ranking,2024,None,None,-0.8785035087145754,-0.5499569523637023,4,1,1,0.6623905439127489,1.214516984136964,0
1,9,New York,Columbia University,Computer Science,5,2022,0,Quality of Life,2023,None,None,-0.8785035087145754,1.2614036710789476,1,1,3,-1.2540014530928845,-1.2311475026470962,0
5,3,Pilani,BITS Pilani,Design,0,2021,1,Scholarship,2024,None,None,-0.8785035087145754,0.44861364773929696,5,1,2,-1.2540014530928845,1.214516984136964,0
6,2,Berlin,TU Berlin,Law,7,2022,0,Higher Ranking,2025,Germany,SAP,0.28819329698708035,1.5400745362239707,0,2,4,0.0,1.214516984136964,1
8,3,Mumbai,IIT Bombay,Business Administration,3,2023,0,Higher Ranking,2025,None,None,-0.8785035087145754,0.6343942245026458,5,1,0,-0.39162505444035,-0.008315259255065975,0
2,1,Joensuu,University of Eastern Finland,Economics,6,2019,1,Job Opportunities,2022,Finland,IBM,0.0865531953256226,-0.22484094302784197,0,3,4,0.0,1.214516984136964,1
1,7,Dubai,University of Dubai,Psychology,6,2020,1,Higher Ranking,2021,UAE,Microsoft,0.2531143080514522,0.28605564307136727,5,4,1,-1.445640652793448,-1.2311475026470962,1
3,5,Moscow,Bauman Moscow State Technical University,Psychology,4,2019,1,Scholarship,2022,Russia,Goldman Sachs,0.025899474153058155,1.4007391036514591,2,3,4,0.0,1.214516984136964,1
2,8,Cambridge,University of Cambridge,Medicine,2,2022,0,Quality of Life,2024,UK,Tesla,0.23248888791279732,-1.0608535384629105,2,1,3,1.7164061422658479,-0.008315259255065975,1
8,6,Cape Town,University of Cape Town,Political Science,2,2022,0,Scholarship,2023,South Africa,Deloitte,1.7156261739061676,0.10027506630801845,5,2,2,1.1414885431641564,-1.2311475026470962,1
1,8,Oxford,University of Oxford,Political Science,1,2021,1,Political Stability,2024,UK,Deloitte,1.9015112940276777,-0.5731795244591205,1,3,1,1.1414885431641564,1.214516984136964,1
3,9,Los Angeles,UCLA,Economics,3,2021,0,Higher Ranking,2023,USA,Goldman Sachs,1.9727143457682923,0.5182813640255532,1,0,0,-1.7330994523442929,-0.008315259255065975,1
3,4,Dublin,Trinity College Dublin,Civil Engineering,2,2022,0,Higher Ranking,2024,Ireland,Deloitte,0.2810749636505082,0.26283307097594816,4,3,1,-1.445640652793448,-0.008315259255065975,1
3,1,Joensuu,University of Eastern Finland,Psychology,7,2022,1,Political Stability,2024,None,None,-0.8785035087145754,1.1685133826972731,1,2,2,-1.7330994523442929,-0.008315259255065975,0
1,9,Chicago,University of Chicago,Medicine,6,2022,0,Higher Ranking,2023,USA,IBM,1.2444753241996478,-0.8518503896041437,3,4,2,-1.5414602526437293,-1.2311475026470962,1
1,2,Stuttgart,University of Stuttgart,Law,2,2023,1,Scholarship,2026,None,None,-0.8785035087145754,0.5647265082163905,1,2,3,-1.828919052194575,1.214516984136964,0
1,6,Durban,University of KwaZulu-Natal,Mechanical Engineering,0,2021,0,Higher Ranking,2023,None,None,-0.8785035087145754,0.6808393686934829,5,3,1,-1.6372798524940115,-0.008315259255065975,0
6,4,Galway,National University of Ireland Galway,Civil Engineering,1,2020,0,Political Stability,2021,Ireland,Deloitte,1.005685804238739,-0.22484094302784197,0,3,3,1.9080453419664105,-1.2311475026470962,1
1,8,London,UCL,Data Science,1,2020,0,Quality of Life,2022,UK,Deloitte,0.3587653607311012,-0.5035118081728652,0,0,2,0.27911214451162186,-0.008315259255065975,1
1,9,San Francisco,UC Berkeley,Design,5,2021,0,Quality of Life,2022,None,None,-0.8785035087145754,-0.48028923607744606,0,0,2,0.8540297436133124,-1.2311475026470962,0
9,5,Novosibirsk,Novosibirsk State University,Design,4,2022,1,Job Opportunities,2023,Russia,McKinsey,1.0676606565291715,1.3078488152697847,0,0,3,-0.48744465429063133,-1.2311475026470962,1
6,5,Moscow,Higher School of Economics,Psychology,0,2023,0,Job Opportunities,2025,Russia,Amazon,1.4747070694567552,-0.7357375291270501,4,0,0,-0.8707230536917584,-0.008315259255065975,1
9,7,Dubai,University of Dubai,Law,7,2023,1,Political Stability,2025,None,None,-0.8785035087145754,1.6329648246056452,0,2,4,0.0,-0.008315259255065975,0
1,8,Birmingham,University of Birmingham,Law,3,2023,0,Job Opportunities,2026,UK,Deloitte,1.452997138698955,-0.38739894769577166,1,3,4,0.0,1.214516984136964,1
0,5,Kazan,Kazan Federal University,Law,1,2023,1,Job Opportunities,2025,None,None,-0.8785035087145754,-0.08550551045533036,1,4,2,1.1414885431641564,-0.008315259255065975,0
6,9,New York,NYU,Economics,5,2022,0,Higher Ranking,2023,USA,SAP,1.4569408136776654,0.6111716524072267,5,1,1,-1.7330994523442929,-1.2311475026470962,1
4,5,Moscow,Moscow Institute of Physics and Technology,Business Administration,5,2021,1,Quality of Life,2022,Russia,Google,0.5467209102164342,-0.01583779416907404,5,2,4,0.0,-1.2311475026470962,1
2,7,Dubai,University of Dubai,Design,7,2022,1,Quality of Life,2025,None,None,-0.8785035087145754,1.0756230943155987,5,3,1,0.9498493434635937,1.214516984136964,0
6,5,Moscow,Higher School of Economics,Data Science,7,2022,0,Scholarship,2024,Russia,Microsoft,0.6788537403781228,1.586519680414808,2,4,2,1.6205865424155648,-0.008315259255065975,1
1,4,Cork,University College Cork,Electrical Engineering,3,2022,1,Scholarship,2024,Ireland,Tesla,1.9859848120716523,-0.8518503896041437,1,4,3,0.18329254466134054,-0.008315259255065975,1
7,6,Stellenbosch,Stellenbosch University,Architecture,1,2019,0,Job Opportunities,2021,South Africa,Deloitte,0.08815038369200028,-0.457066663982028,4,4,4,0.0,-0.008315259255065975,1
2,3,Tiruchirappalli,NIT Trichy,Design,7,2021,0,Higher Ranking,2022,None,None,-0.8785035087145754,-1.2698566873216774,0,3,3,1.1414885431641564,-1.2311475026470962,0
7,3,Delhi,Delhi University,Architecture,1,2019,0,Scholarship,2020,None,None,-0.8785035087145754,0.5415039361209714,3,3,3,-0.5832642541409127,-1.2311475026470962,0
9,7,Dubai,Middlesex University Dubai,Electrical Engineering,0,2021,1,Job Opportunities,2023,UAE,Apple,-0.16972652316586637,-0.921518105890399,1,3,3,-1.062362253392321,-0.008315259255065975,1
4,8,London,Imperial College London,Mechanical Engineering,5,2021,1,Job Opportunities,2024,UK,Microsoft,0.7864371937973399,1.1917359547926911,4,4,0,0.8540297436133124,1.214516984136964,1
4,9,New York,NYU,Civil Engineering,1,2023,0,Quality of Life,2024,USA,SAP,1.2269456889192807,-0.8518503896041437,3,0,2,1.2373081430144395,-1.2311475026470962,1
3,2,Heidelberg,Heidelberg University,Data Science,1,2023,1,Higher Ranking,2024,None,None,-0.8785035087145754,-1.153743826844585,0,0,0,1.4289473427150021,-1.2311475026470962,0
4,9,Boston,Harvard University,Architecture,2,2022,1,Job Opportunities,2025,USA,Deloitte,1.1662525309969292,-1.4324146919896081,1,1,1,0.08747294481105837,1.214516984136964,1
3,8,Birmingham,University of Birmingham,Law,2,2021,1,Political Stability,2022,UK,McKinsey,1.329284054616813,-0.898295533794981,2,0,4,0.0,-1.2311475026470962,1
4,2,Munich,LMU Munich,Civil Engineering,1,2023,1,Scholarship,2024,None,None,-0.8785035087145754,0.19316535468969287,3,2,4,0.0,-1.2311475026470962,0
9,0,Montreal,McGill University,Data Science,5,2022,1,Higher Ranking,2025,Canada,Google,1.3888335467953385,-1.339524403607934,5,2,4,0.0,1.214516984136964,1
1,3,Mumbai,IIT Bombay,Civil Engineering,6,2021,1,Political Stability,2022,India,SAP,0.8350627062848379,-0.6428472407453758,4,3,0,0.6623905439127489,-1.2311475026470962,1
4,5,Kazan,Kazan Federal University,Architecture,0,2019,0,Political Stability,2020,Russia,SAP,1.2770303611489013,-0.3409538035049345,3,2,2,0.4707513442121854,-1.2311475026470962,1
3,7,Dubai,University of Dubai,Law,5,2020,0,Scholarship,2021,UAE,IBM,1.443768939248773,-1.618195268752957,5,3,3,-1.2540014530928845,-1.2311475026470962,1
9,3,Chennai,IIT Madras,Political Science,7,2020,1,Quality of Life,2021,None,None,-0.8785035087145754,1.4239616757468772,5,0,3,0.3749317443619041,-1.2311475026470962,0
4,7,Dubai,Heriot-Watt Dubai,Political Science,7,2019,1,Job Opportunities,2022,UAE,Amazon,1.8136659338769057,0.8898425175522499,2,3,1,-1.062362253392321,1.214516984136964,1
0,3,Delhi,JNU Delhi,Civil Engineering,1,2022,1,Quality of Life,2024,India,Tesla,0.30542715664404435,-1.618195268752957,0,2,3,1.3331277428647208,-0.008315259255065975,1
9,3,Tiruchirappalli,NIT Trichy,Architecture,4,2022,1,Scholarship,2023,India,Apple,1.303433265131367,-0.9679632500812362,1,0,4,0.0,-1.2311475026470962,1
5,7,Dubai,University of Dubai,Political Science,7,2019,0,Job Opportunities,2021,UAE,IBM,0.00454447414334187,1.0988456664110178,1,2,1,0.7582101437630302,-0.008315259255065975,1
8,3,Tiruchirappalli,NIT Trichy,Mechanical Engineering,1,2023,1,Higher Ranking,2025,India,Intel,0.9265756841658105,-0.41062151979119077,0,4,0,-0.7749034538414762,-0.008315259255065975,1
0,7,Abu Dhabi,Zayed University,Architecture,4,2020,0,Political Stability,2023,None,None,-0.8785035087145754,-1.618195268752957,0,1,0,1.8122257421161292,1.214516984136964,0
5,7,Sharjah,American University of Sharjah,Design,5,2020,1,Political Stability,2021,None,None,-0.8785035087145754,-1.0840761105583296,5,3,3,-1.5414602526437293,-1.2311475026470962,0
5,4,Maynooth,Maynooth University,Political Science,4,2022,1,Quality of Life,2025,Ireland,Goldman Sachs,-0.26232401166598424,-1.57175012456212,0,3,1,1.5247669425652834,1.214516984136964,1
2,0,Vancouver,Simon Fraser University,Architecture,7,2021,0,Political Stability,2023,None,None,-0.8785035087145754,-0.7821826733178874,5,2,0,1.3331277428647208,-0.008315259255065975,0
2,6,Stellenbosch,Stellenbosch University,Architecture,2,2020,1,Job Opportunities,2023,None,None,-0.8785035087145754,-0.7125149570316321,1,4,0,-0.2958054545900678,1.214516984136964,0
1,9,San Francisco,Stanford University,Mechanical Engineering,0,2023,1,Job Opportunities,2026,None,None,-0.8785035087145754,1.5400745362239707,1,4,3,0.8540297436133124,1.214516984136964,0
